"enzyme","s_uM","replicate","v_uM_per_s","v_uM_per_min"
1111,7.8125,1,0.00959756242520022,0.575853745512013
1111,7.8125,2,0.00895189376717278,0.537113626030367
1111,7.8125,3,0.00913575552750076,0.548145331650046
1111,7.8125,4,0.00909907646778053,0.545944588066832
1111,15.625,1,0.0178780371315456,1.07268222789274
1111,15.625,2,0.0176364546237171,1.05818727742303
1111,15.625,3,0.0175368469055937,1.05221081433562
1111,15.625,4,0.017872761024484,1.07236566146904
1111,31.25,1,0.0322821817243146,1.93693090345888
1111,31.25,2,0.0308180777034797,1.84908466220878
1111,31.25,3,0.0310486769974608,1.86292061984765
1111,31.25,4,0.0320092071752129,1.92055243051278
1111,62.5,1,0.0528993763212238,3.17396257927343
1111,62.5,2,0.0487746945046004,2.92648167027602
1111,62.5,3,0.0456258365290282,2.73755019174169
1111,62.5,4,0.0500606029541977,3.00363617725186
1111,125,1,0.0667946791473875,4.00768074884325
1111,125,2,0.0668310090427742,4.00986054256645
1111,125,3,0.0678915288371395,4.07349173022837
1111,125,4,0.0650465737180618,3.90279442308371
1111,250,1,0.0820005415038671,4.92003249023203
1111,250,2,0.0792673612020786,4.75604167212472
1111,250,3,0.0808682321017158,4.85209392610295
1111,250,4,0.0798451660754356,4.79070996452614
1111,500,1,0.0990826252632614,5.94495751579568
1111,500,2,0.0890808975803179,5.34485385481907
1111,500,3,0.0924507655655115,5.54704593393069
1111,500,4,0.0944281472833358,5.66568883700015
2222,7.8125,1,0.000981255435355126,0.0588753261213075
2222,7.8125,2,0.000860559656063324,0.0516335793637994
2222,7.8125,3,0.00106523396507772,0.0639140379046629
2222,7.8125,4,0.000944524546554135,0.0566714727932481
2222,15.625,1,0.00194677256845514,0.116806354107309
2222,15.625,2,0.0017053891934106,0.102323351604636
2222,15.625,3,0.0021041583188526,0.126249499131156
2222,15.625,4,0.00192577452621655,0.115546471572993
2222,31.25,1,0.00358395972424725,0.215037583454835
2222,31.25,2,0.00330583182116994,0.198349909270196
2222,31.25,3,0.00372562353946773,0.223537412368064
2222,31.25,4,0.00346325303357002,0.207795182014201
2222,62.5,1,0.00661708432525834,0.397025059515501
2222,62.5,2,0.00570920337642182,0.342552202585309
2222,62.5,3,0.00558329423053458,0.334997653832075
2222,62.5,4,0.00743545149190688,0.446127089514413
2222,125,1,0.00894679224227793,0.536807534536676
2222,125,2,0.00948190270249074,0.568914162149444
2222,125,3,0.0101483184408921,0.608899106453524
2222,125,4,0.0114603073626984,0.687618441761903
2222,250,1,0.0143305491506956,0.859832949041736
2222,250,2,0.0125411623326379,0.752469739958274
2222,250,3,0.0134174002783365,0.805044016700191
2222,250,4,0.0127038787470241,0.762232724821446
2222,500,1,0.0215145642493178,1.29087385495907
2222,500,2,0.0163143390318191,0.978860341909144
2222,500,3,0.0179831119059756,1.07898671435854
2222,500,4,0.0163930660050972,0.983583960305835
3333,7.8125,1,0.00106518213599696,0.0639109281598174
3333,7.8125,2,0.00110719185970592,0.0664315115823552
3333,7.8125,3,0.00110719731539863,0.0664318389239179
3333,7.8125,4,0.00108618836177462,0.065171301706477
3333,15.625,1,0.00237704830471727,0.142622898283036
3333,15.625,2,0.00240850854214936,0.144510512528961
3333,15.625,3,0.00231398325399625,0.138838995239775
3333,15.625,4,0.00243477178006414,0.146086306803849
3333,31.25,1,0.00499011113064137,0.299406667838482
3333,31.25,2,0.00426087039199832,0.255652223519899
3333,31.25,3,0.00448120662356987,0.268872397414192
3333,31.25,4,0.00441829433224476,0.265097659934686
3333,62.5,1,0.00882610737437155,0.529566442462293
3333,62.5,2,0.00873674907942582,0.524204944765549
3333,62.5,3,0.00871042855673757,0.522625713404254
3333,62.5,4,0.00837975781075256,0.502785468645153
3333,125,1,0.0149074401955235,0.89444641173141
3333,125,2,0.0149756640559128,0.898539843354771
3333,125,3,0.0167438809774115,1.00463285864469
3333,125,4,0.0172686929132122,1.03612157479273
3333,250,1,0.0221539093072831,1.32923455843698
3333,250,2,0.0241740918242594,1.45044550945557
3333,250,3,0.0233397299377983,1.4003837962679
3333,250,4,0.0221069535459215,1.32641721275529
3333,500,1,0.0396071404867194,2.37642842920316
3333,500,2,0.03434893264847,2.0609359589082
3333,500,3,0.0336722947653545,2.02033768592127
3333,500,4,0.0318776782136233,1.9126606928174
4444,7.8125,1,0.00146924919127141,0.0881549514762848
4444,7.8125,2,0.0014219960946571,0.0853197656794262
4444,7.8125,3,0.00153222967875541,0.0919337807253247
4444,7.8125,4,0.0014849765821411,0.0890985949284661
4444,15.625,1,0.00291224060032075,0.174734436019245
4444,15.625,2,0.00283882792395317,0.17032967543719
4444,15.625,3,0.00241374373151564,0.144824623890938
4444,15.625,4,0.00308557196929635,0.185134318157781
4444,31.25,1,0.00455472841379167,0.2732837048275
4444,31.25,2,0.00494815869170588,0.296889521502353
4444,31.25,3,0.00470694171528903,0.282416502917342
4444,31.25,4,0.00559893705816724,0.335936223490035
4444,62.5,1,0.00747226967179125,0.448336180307475
4444,62.5,2,0.00726748352107628,0.436049011264577
4444,62.5,3,0.00772397339401879,0.463438403641127
4444,62.5,4,0.00875784805197957,0.525470883118774
4444,125,1,0.0101483620864338,0.608901725186025
4444,125,2,0.00960260939316797,0.576156563590078
4444,125,3,0.0103319783405897,0.619918700435383
4444,125,4,0.0109563979945139,0.657383879670831
4444,250,1,0.0106468398603144,0.638810391618863
4444,250,2,0.0111243223198028,0.667459339188166
4444,250,3,0.0113920344010746,0.683522064064478
4444,250,4,0.011176892441174,0.670613546470442
4444,500,1,0.0103162100320247,0.618972601921482
4444,500,2,0.0102113562131495,0.612681372788972
4444,500,3,0.0102324142680079,0.613944856080477
4444,500,4,0.0107047215507499,0.642283293044992
5555,7.8125,1,0.00430279828031662,0.258167896818997
5555,7.8125,2,0.00447071987775917,0.26824319266555
